Code,Name,Market,Market_Value,產業別,Main_Type,Sub_Type,Issue_amount,相關產業
2009,第一銅,市,31,鋼鐵工業,Traditional,Steel,36,鋼鐵
2010,春源,市,67.4,鋼鐵工業,Traditional,Steel,64.8,"冷熱軋鋼板捲,冷熱軋不鏽鋼板捲,不鏽鋼板鋼棒"
2012,春雨,市,46.9,鋼鐵工業,Traditional,Steel,28.8,"盤元,鋼鐵成品-螺絲螺帽"
2013,中鋼構,市,57.1,鋼鐵工業,Traditional,Steel,20,鋼鐵成品-金屬製品
2014,中鴻,市,132,鋼鐵工業,Traditional,Steel,144,"冷熱軋鋼板捲,不鏽鋼製管"
2015,豐興,市,323,鋼鐵工業,Traditional,Steel,58.2,"原料鋼胚,鋼筋,盤元,鋼鐵成品-金屬製品"
2017,官田鋼,市,27.7,鋼鐵工業,Traditional,Steel,34.2,盤元
2020,美亞,市,35,鋼鐵工業,Traditional,Steel,22.3,不鏽鋼製管
2022,聚亨,市,25.9,鋼鐵工業,Traditional,Steel,48,"盤元,鋼鐵成品-螺絲螺帽"
2023,燁輝,市,175,鋼鐵工業,Traditional,Steel,189,"冷熱軋鋼板捲,不鏽鋼製管"
2024,志聯,市,13.8,鋼鐵工業,Traditional,Steel,9.75,"鋼鐵成品-鋼線鋼纜,不鏽鋼板鋼棒"
2025,千興,市,9.87,鋼鐵工業,Traditional,Steel,28.1,冷熱軋不鏽鋼板捲
2027,大成鋼,市,238,鋼鐵工業,Traditional,Steel,126,不鏽鋼製管
2028,威致,市,32.2,鋼鐵工業,Traditional,Steel,32.6,"原料鋼胚,鋼筋,盤元"
2029,盛餘,市,58.6,鋼鐵工業,Traditional,Steel,32.1,冷熱軋鋼板捲
2030,彰源,市,28,鋼鐵工業,Traditional,Steel,28.1,不鏽鋼製管
2031,新光鋼,市,93.5,鋼鐵工業,Traditional,Steel,30.7,不鏽鋼裁剪加工
2032,新鋼,市,12.2,鋼鐵工業,Traditional,Steel,13.1,不鏽鋼裁剪加工
2033,佳大,市,7.99,鋼鐵工業,Traditional,Steel,8.07,鋼鐵成品-鋼線鋼纜
2034,允強,市,92.8,鋼鐵工業,Traditional,Steel,40.7,"冷熱軋不鏽鋼板捲,不鏽鋼板鋼棒,不鏽鋼裁剪加工"
2038,海光,市,18,鋼鐵工業,Traditional,Steel,18.1,鋼筋
2049,上銀,市,899,電機機械,Traditional,Machinery,31.9,電機傳動元件
2059,川湖,市,264,電子零組件業,Electronic,Components,9.53,電子零組件
2062,橋椿,市,38.7,其他業,Others,Others,16.3,其他
2069,運錩,市,23,鋼鐵工業,Traditional,Steel,15.6,不鏽鋼裁剪加工
2101,南港,市,354,橡膠工業,Traditional,Rubber,83.4,汽車配件
2102,泰豐,市,89.7,橡膠工業,Traditional,Rubber,47.3,"橡膠_橡膠製品,汽車配件"
2103,台橡,市,140,橡膠工業,Traditional,Rubber,82.6,橡膠_橡膠製品
2104,國際中橡,市,189,橡膠工業,Traditional,Rubber,98.5,塑膠_橡塑膠添加劑
2105,正新,市,1167,橡膠工業,Traditional,Rubber,324,汽車配件
2106,建大,市,262,橡膠工業,Traditional,Rubber,90.9,汽車配件
2107,厚生,市,65.9,建材營造業,Traditional,Construction,34.2,"橡膠_橡膠製品,建設業"
2108,南帝,市,232,橡膠工業,Traditional,Rubber,49.2,橡膠_橡膠製品
2109,華豐,市,39.9,橡膠工業,Traditional,Rubber,33.2,汽車配件
2114,鑫永銓,市,56.6,橡膠工業,Traditional,Rubber,7.09,橡膠_橡膠製品
2115,六暉-KY,市,36.3,汽車工業,Traditional,Cars,9.04,汽車配件
2201,裕隆,市,226,汽車工業,Traditional,Cars,157,整車組裝
2204,中華,市,229,汽車工業,Traditional,Cars,55.4,"整車組裝,汽車銷售"
2206,三陽工業,市,180,汽車工業,Traditional,Cars,81.4,"整車組裝,汽車銷售"
2207,和泰車,市,3293,汽車工業,Traditional,Cars,54.6,汽車銷售
2208,台船,市,113,航運業,Others,Shipping,47.3,航運_船隻與零件維修
2211,長榮鋼,市,291,鋼鐵工業,Traditional,Steel,42,鋼鐵成品-金屬製品
2227,裕日車,市,729,汽車工業,Traditional,Cars,30,"整車組裝,汽車銷售"
2228,劍麟,市,57.5,汽車工業,Traditional,Cars,7.58,"汽車配件,手工具機,電機金屬加工處理"
2231,為升,市,188,汽車工業,Traditional,Cars,12.2,汽車配件
2233,宇隆,市,41.6,汽車工業,Traditional,Cars,6.03,"電機傳動元件,電機五金元件及零配件,輸送機械及零配件,車用機械傳動設備及零配件,電機金屬加工處理"
2236,百達-KY,市,7.73,汽車工業,Traditional,Cars,4.48,汽車配件
2239,英利-KY,市,88.6,汽車工業,Traditional,Cars,11.8,汽車配件
2241,艾姆勒,市,43,電機機械,Traditional,Machinery,8.48,"汽車配件,整車組裝,汽車銷售"
2243,宏旭-KY,市,5.33,汽車工業,Traditional,Cars,4.57,汽車配件
2247,汎德永業,市,189,汽車工業,Traditional,Cars,8.07,汽車銷售
2250,IKKA-KY,市,52.6,汽車工業,Traditional,Cars,2.7,汽車配件
2301,光寶科,市,1058,電腦及週邊設備業,Electronic,Computers,235,"大功率鋰電池芯及模組及動力馬達零組件,LED封裝及模組,LED燈具及應用,醫療耗材,生物檢測,通信網路設備,其他電腦及週邊設備,印表機及傳真機及掃瞄器及多功能事務機及投影機"
2302,麗正,市,24.4,半導體業,Electronic,Semi,16.6,"晶圓製造,其他IC及二極體製造"
2303,聯電,市,3106,半導體業,Electronic,Semi,1242,晶圓製造
2305,全友,市,15.6,電腦及週邊設備業,Electronic,Computers,20.6,印表機及傳真機及掃瞄器及多功能事務機及投影機
2308,台達電,市,4585,電子零組件業,Electronic,Components,260,"其他IC及二極體製造,IC模組,鋰電池材料,大功率鋰電池芯及模組及動力馬達零組件,電動汽機自行車,LED封裝及模組,LED燈具及應用,太陽能電池,太陽能電池模組,太陽能發電設備及系統及系統工程,能源元件電池芯,能源元件電池模組,醫療耗材,醫療器材代理,基板組裝加工及相關製造,被動元件電阻器,被動元件電容器,被動元件電感器,被動元件濾波振盪器,通信網路IC晶片,通信網路元件,通信網路設備,光通訊設備,無線通訊設備,有線通訊設備,電腦晶片組,電腦顯示器模組,電腦機殼,電腦電源供應器,電腦電池,電腦散熱模組,電腦輸出入模組及介面卡,電腦顯示卡,電腦BIOS嵌入式軟體,伺服器,其他電腦及週邊設備,光學鏡片頭,安全監控系統,背光模組,平面顯示器其他零組件,平面顯示器面板,平面顯示器模組,平面顯示器成品,電機五金元件及零配件,電機電控元件,車用機械傳動設備及零配件,冷凍空調設備及零件,機電系統工程,應用及系統軟體設計開發,系統整合服務,資料處理服務,資訊通路經銷,營造上游工程"
2312,金寶,市,155,其他電子業,Electronic,Others,147,"LED燈具及應用,無線通訊設備,電腦主機板,電腦硬碟機,印表機及傳真機及掃瞄器及多功能事務機及投影機"
2313,華通,市,490,電子零組件業,Electronic,Components,119,"IC載板製造,基板組裝加工及相關製造"
