Code,Name,Market,Market_Value,產業別,Main_Type,Sub_Type,Issue_amount,相關產業
2029,盛餘,市,58.6,鋼鐵工業,Traditional,Steel,32.1,鋼鐵
2030,彰源,市,28,鋼鐵工業,Traditional,Steel,28.1,鋼鐵
2031,新光鋼,市,93.5,鋼鐵工業,Traditional,Steel,30.7,鋼鐵
2032,新鋼,市,12.2,鋼鐵工業,Traditional,Steel,13.1,鋼鐵
2033,佳大,市,7.99,鋼鐵工業,Traditional,Steel,8.07,鋼鐵
2034,允強,市,92.8,鋼鐵工業,Traditional,Steel,40.7,鋼鐵
2038,海光,市,18,鋼鐵工業,Traditional,Steel,18.1,鋼鐵
2049,上銀,市,899,電機機械,Traditional,Machinery,31.9,電機機械
2059,川湖,市,264,電子零組件業,Electronic,Components,9.53,電子零組件
2062,橋椿,市,38.7,其他業,Others,Others,16.3,其他
2069,運錩,市,23,鋼鐵工業,Traditional,Steel,15.6,鋼鐵
2101,南港,市,354,橡膠工業,Traditional,Rubber,83.4,橡膠
2102,泰豐,市,89.7,橡膠工業,Traditional,Rubber,47.3,橡膠
2103,台橡,市,140,橡膠工業,Traditional,Rubber,82.6,橡膠
2104,國際中橡,市,189,橡膠工業,Traditional,Rubber,98.5,橡膠
2105,正新,市,1167,橡膠工業,Traditional,Rubber,324,橡膠
2106,建大,市,262,橡膠工業,Traditional,Rubber,90.9,橡膠
2107,厚生,市,65.9,橡膠工業,Traditional,Rubber,34.2,橡膠
2108,南帝,市,232,橡膠工業,Traditional,Rubber,49.2,橡膠
2109,華豐,市,39.9,橡膠工業,Traditional,Rubber,33.2,橡膠
2114,鑫永銓,市,56.6,橡膠工業,Traditional,Rubber,7.09,橡膠
2115,六暉-KY,市,36.3,汽車工業,Traditional,Cars,9.04,汽車
2201,裕隆,市,226,汽車工業,Traditional,Cars,157,汽車
2204,中華,市,229,汽車工業,Traditional,Cars,55.4,汽車
2206,三陽工業,市,180,汽車工業,Traditional,Cars,81.4,汽車
2207,和泰車,市,3293,汽車工業,Traditional,Cars,54.6,汽車
2208,台船,市,113,航運業,Others,Shipping,47.3,航運業
2211,長榮鋼 ,市,291,鋼鐵工業,Traditional,Steel,42,鋼鐵
2227,裕日車,市,729,汽車工業,Traditional,Cars,30,汽車
2228,劍麟,市,57.5,汽車工業,Traditional,Cars,7.58,汽車
2231,為升,市,188,汽車工業,Traditional,Cars,12.2,汽車
2233,宇隆,市,41.6,汽車工業,Traditional,Cars,6.03,汽車
2236,百達-KY,市,7.73,汽車工業,Traditional,Cars,4.48,汽車
2239,英利-KY,市,88.6,汽車工業,Traditional,Cars,11.8,汽車
2241,艾姆勒,市,43,電機機械,Traditional,Machinery,8.48,電機機械
2243,宏旭-KY,市,5.33,汽車工業,Traditional,Cars,4.57,汽車
2247,汎德永業,市,189,汽車工業,Traditional,Cars,8.07,汽車
2250,IKKA-KY,市,52.6,汽車工業,Traditional,Cars,2.7,汽車
2301,光寶科,市,1058,電腦及週邊設備業,Electronic,Computers,235,"LED發光二極體,行動電話,電源供應器,電腦周邊產品,機殼業,辦公室自動化"
2302,麗正,市,24.4,半導體業,Electronic,Semi,16.6,半導體
2303,聯電,市,3106,半導體業,Electronic,Semi,1242,"晶圓代工,IC生產"
2305,全友,市,15.6,電腦及週邊設備業,Electronic,Computers,20.6,"掃描器,電腦周邊產品"
2308,台達電,市,4585,電子零組件業,Electronic,Components,260,"LED發光二極體,光通訊,被動元件,軟體業,資訊服務,電源供應器,監視器"
2312,金寶,市,155,其他電子業,Electronic,Others,147,"消費性電子產品,印表機,行動電話,電腦周邊產品"
2313,華通,市,490,電子零組件業,Electronic,Components,119,印刷電路板
2314,台揚,市,49.7,通信網路業,Electronic,Communications,22.8,"行動電話,電信設備"
2316,楠梓電,市,55,電子零組件業,Electronic,Components,18.3,印刷電路板
2317,鴻海,市,10300,其他電子業,Electronic,Others,1386,"主機板,光通訊,伺服器,消費性電子產品,連接器,行動電話,電腦系統整合,監視器,數位相機"
2321,東訊,市,2.17,通信網路業,Electronic,Communications,31.5,通信網路
2323,中環,市,88.8,光電業,Electronic,Opto,116,光碟片
2324,仁寶,市,833,電腦及週邊設備業,Electronic,Computers,441,"伺服器,消費性電子產品,行動電話,監視器"
2327,國巨,市,1607,電子零組件業,Electronic,Components,49.4,被動元件
2328,廣宇,市,86.6,電子零組件業,Electronic,Components,51.8,"連接器,印刷電路板,電腦周邊產品"
2329,華泰,市,56.6,半導體業,Electronic,Semi,55.7,IC封測
2330,台積電,市,109945,半導體業,Electronic,Semi,2593,"晶圓代工,IC生產"
2331,精英,市,69.4,電腦及週邊設備業,Electronic,Computers,55.7,"主機板,消費性電子產品,電腦系統整合"
2332,友訊,市,112,通信網路業,Electronic,Communications,65.2,消費性電子產品
2337,旺宏,市,539,半導體業,Electronic,Semi,186,"晶圓代工,IC生產"
2338,光罩,市,67.1,半導體業,Electronic,Semi,25.3,半導體
2340,光磊,市,83.7,光電業,Electronic,Opto,37.9,"LED發光二極體,監視器"
2342,茂矽,市,43.1,半導體業,Electronic,Semi,15.6,晶圓代工
2344,華邦電,市,488,半導體業,Electronic,Semi,398,"DRAM,IC生產"
2345,智邦,市,1183,通信網路業,Electronic,Communications,55.9,無線網路
2347,聯強,市,680,電子通路業,Electronic,Distribution,167,資訊通路
2348,海悅,市,80.8,其他業,Others,Others,8.75,"掃描器,DRAM模組,電腦周邊產品"
2349,錸德,市,39.1,光電業,Electronic,Opto,128,"光通訊,光碟片,電腦周邊產品"
2351,順德,市,100,半導體業,Electronic,Semi,18.2,導線架
2352,佳世達,市,356,電腦及週邊設備業,Electronic,Computers,197,"消費性電子產品,掃描器,光碟機,行動電話,電腦周邊產品,監視器"
2353,宏碁,市,738,電腦及週邊設備業,Electronic,Computers,307,"伺服器,消費性電子產品,筆記型電腦,行動電話,資訊通路,電腦系統整合,監視器"
2354,鴻準,市,713,其他電子業,Electronic,Others,141,行動電話
2355,敬鵬,市,105,電子零組件業,Electronic,Components,39.7,印刷電路板
2356,英業達,市,789,電腦及週邊設備業,Electronic,Computers,359,"行動電話,伺服器,消費性電子產品,電腦周邊產品"
2357,華碩,市,1831,電腦及週邊設備業,Electronic,Computers,74.3,"主機板,行動電話,消費性電子產品,筆記型電腦,電腦系統整合"
2358,廷鑫,市,14.4,其他業,Others,Others,9.46,其他
2359,所羅門,市,30.9,其他電子業,Electronic,Others,17.1,其他電子
2360,致茂,市,635,其他電子業,Electronic,Others,42.1,其他電子
2362,藍天,市,195,電腦及週邊設備業,Electronic,Computers,67,資訊通路
2363,矽統,市,57.1,半導體業,Electronic,Semi,55.4,IC設計
2364,倫飛,市,10.9,電腦及週邊設備業,Electronic,Computers,19.6,筆記型電腦
2365,昆盈,市,22.4,電腦及週邊設備業,Electronic,Computers,23.5,"消費性電子產品,掃描器,電腦周邊產品"
2367,燿華,市,126,電子零組件業,Electronic,Components,61.9,印刷電路板
2368,金像電,市,240,電子零組件業,Electronic,Components,54.6,印刷電路板
2369,菱生,市,39.3,半導體業,Electronic,Semi,38,IC封測
2371,大同,市,356,電機機械,Traditional,Machinery,234,電機機械
2373,震旦行,市,199,其他電子業,Electronic,Others,23.6,"資訊通路,電腦周邊產品,辦公室自動化"
2374,佳能,市,35.7,光電業,Electronic,Opto,28.2,數位相機
2375,凱美,市,50.8,電子零組件業,Electronic,Components,13.6,被動元件
2376,技嘉,市,479,電腦及週邊設備業,Electronic,Computers,63.6,"主機板,伺服器,消費性電子產品,筆記型電腦,電腦系統整合,電腦周邊產品"
2377,微星,市,1081,電腦及週邊設備業,Electronic,Computers,84.5,"主機板,伺服器,筆記型電腦,電腦系統整合,電腦周邊產品"
2379,瑞昱,市,1795,半導體業,Electronic,Semi,51.1,IC設計
2380,虹光,市,12.5,電腦及週邊設備業,Electronic,Computers,17.9,"掃描器,電腦周邊產品,辦公室自動化"
2382,廣達,市,2835,電腦及週邊設備業,Electronic,Computers,386,"行動電話,伺服器,消費性電子產品"
2383,台光電,市,469,電子零組件業,Electronic,Components,32.5,電子零組件
2385,群光,市,621,電子零組件業,Electronic,Components,73.9,"行動電話,電源供應器,電腦周邊產品,數位相機"
2387,精元,市,128,電腦及週邊設備業,Electronic,Computers,19.6,電腦周邊產品
2388,威盛,市,175,半導體業,Electronic,Semi,49.3,"IC設計,監視器"
2390,云辰,市,33.7,其他電子業,Electronic,Others,21.4,"LED發光二極體,消費性電子產品,軟體業,資訊服務"
2392,正崴,市,211,電子零組件業,Electronic,Components,51.2,"行動電話,消費性電子產品,連接器"
2393,億光,市,157,光電業,Electronic,Opto,44.3,LED發光二極體
2395,研華,市,2152,電腦及週邊設備業,Electronic,Computers,77.1,電腦及週邊設備
2397,友通,市,75.6,電腦及週邊設備業,Electronic,Computers,11.5,主機板
2399,映泰,市,19.1,電腦及週邊設備業,Electronic,Computers,17.8,"主機板,電腦周邊產品"
2401,凌陽,市,79.6,半導體業,Electronic,Semi,59.2,IC設計
2402,毅嘉,市,48.9,電子零組件業,Electronic,Components,30.8,行動電話
2404,漢唐,市,365,其他電子業,Electronic,Others,19.1,其他電子
2405,浩鑫,市,30.7,電腦及週邊設備業,Electronic,Computers,34.3,"主機板,消費性電子產品"
2406,國碩,市,51.5,光電業,Electronic,Opto,28.6,光碟片
2408,南亞科,市,1624,半導體業,Electronic,Semi,307,"DRAM,IC生產"
2409,友達,市,1035,光電業,Electronic,Opto,962,TFT-LCD
2412,中華電,市,8339,通信網路業,Electronic,Communications,776,電信服務
2413,環科,市,18.4,電子零組件業,Electronic,Components,12.7,"被動元件,電源供應器"
2414,精技,市,39.1,電子通路業,Electronic,Distribution,16.2,資訊通路
2415,錩新,市,11.8,電子零組件業,Electronic,Components,8,模具沖壓
